Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
31.08.1938;00:00:00;200;Genügend
01.09.1938;00:00:00;194;Genügend
02.09.1938;00:00:00;190;Genügend
03.09.1938;00:00:00;194;Genügend
04.09.1938;00:00:00;196;Genügend
05.09.1938;00:00:00;196;Genügend
06.09.1938;00:00:00;202;Genügend
07.09.1938;00:00:00;204;Genügend
08.09.1938;00:00:00;200;Genügend
09.09.1938;00:00:00;196;Genügend
10.09.1938;00:00:00;200;Genügend
11.09.1938;00:00:00;198;Genügend
12.09.1938;00:00:00;198;Genügend
13.09.1938;00:00:00;200;Genügend
14.09.1938;00:00:00;196;Genügend
15.09.1938;00:00:00;196;Genügend
16.09.1938;00:00:00;196;Genügend
17.09.1938;00:00:00;196;Genügend
18.09.1938;00:00:00;198;Genügend
